739063	2
10997	2
75594	57
739064	1
739065	1
75598	16
22528	8
853690	1
739068	3
853693	1
853694	1
630784	5
22523	55
22522	2
630786	2
22521	18
853697	1
630788	1
853695	10
853696	1
10996	2
853688	3
833077	9
630791	7
833075	1
833076	6
739062	2
739061	1
739059	1
22514	29
22517	19
739057	1
75588	2
853680	1
630798	2
22511	1
630797	1
853682	2
853685	7
853686	2
853687	1
3	6
853677	5
2	7
1	15
853679	1
833069	1
5	44
833067	1
4	11
9	17
8	1
833060	2
187602	1
75577	7
22505	13
714605	1
75572	1
187606	243
714604	1
75573	5
739043	4
714607	16
22507	6
187609	7
528309	2
739049	1
22502	4
22501	1
75579	3
528312	1
833057	1
528314	1
528313	2
833059	1
528316	2
528317	1
714612	1
714614	2
187616	1
187613	1
739035	12
187614	1
187619	1
739033	1
739030	2
75562	10
187611	1
75569	10
187610	10
528302	1
833044	5
853699	3
833048	1
528305	1
528304	1
714600	1
833040	1
739027	6
630741	1
10950	1
10954	1
630749	2
10953	22
739021	1
10955	4
739024	2
10957	1
739025	2
399932	1
112801	8
528330	1
593536	1
399934	1
528331	3
399933	1
593539	1
112808	23
528339	2
112807	2
528333	2
593533	1
399935	6
528334	1
630750	1
399938	3
593531	1
630753	1
630754	1
739018	1
739017	1
630751	2
739016	1
10961	1
630756	4
10960	1
739015	1
739014	1
10969	1
739012	1
10968	11
528321	3
593526	1
399920	1
593529	4
528328	1
630761	1
593521	1
399927	5
528324	1
593523	14
399925	1
528322	1
593522	1
399924	28
528323	1
10972	3
630769	2
10973	14
739006	1
739005	1
739008	1
630764	1
10970	1
739001	1
739004	1
739003	1
10976	5
739000	1
10977	2
833096	2
399910	7
833095	1
399912	1
833097	1
593513	16
399911	1
833099	1
399913	1
528356	1
528357	1
528358	1
399915	1
630779	4
10980	16
630774	1
10987	1
10986	1
593507	2
833082	1
593506	3
593508	11
833087	1
593503	2
528342	12
593502	1
833085	3
593504	1
630782	2
399904	2
399903	1
528344	1
630780	2
399902	1
399909	4
399908	10
528349	4
853601	2
853600	1
593572	10
172103	1
172106	1
172105	2
570009	1
593575	1
172108	2
112849	7
399979	1
528378	7
570006	1
172109	2
853609	1
570005	12
112843	1
399977	1
853608	1
570004	2
112842	17
399975	1
570002	79
399976	1
528373	1
570001	1
172100	22
399973	9
399974	1
528371	1
112841	3
528370	63
399981	1
399980	9
515453	9
630705	1
515455	15
515457	1
515458	5
515459	1
630703	1
630702	1
593580	8
22592	2
22590	7
593561	1
593566	1
399968	1
399969	1
593564	3
593565	1
399964	5
528363	1
528362	1
399965	19
593568	1
112832	1
399966	13
528364	9
399960	1
112830	21
399961	1
528361	1
399963	1
630716	2
515466	1
399970	1
515464	1
515469	5
515467	1
515468	1
22599	18
515461	8
515462	2
22595	35
853628	1
112829	3
593550	1
112828	2
22580	2
853625	2
853624	1
22582	43
399951	1
528394	1
528393	5
399950	10
